Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Herman Melville,White Jacket,5,4,18,5,8,65,0,0,32,10,678,363,5.693009118541034,35,1,73,0,0,84,59,2,0,0,7,110,22,20,0,0,3,50,16,49,1,0,5,11,2,26,42,18,15,7,4,2,3,0,6
Herman Melville,White Jacket,3,15,20,2,11,69,14,0,36,22,664,361,5.536144578313253,39,3,84,1,0,73,51,2,3,0,3,89,63,31,0,3,1,25,24,27,1,0,8,11,0,18,44,10,12,7,4,0,0,0,6
Herman Melville,White Jacket,0,3,14,0,7,63,7,0,29,28,700,341,5.819047619047619,31,5,97,4,1,83,53,0,1,0,6,90,56,34,1,1,7,18,8,33,1,1,2,21,0,16,9,17,17,31,14,4,7,2,7
Herman Melville,White Jacket,0,0,15,1,5,81,6,0,23,37,681,377,6.114206128133705,37,3,84,1,0,90,54,0,4,0,3,84,63,57,0,0,13,31,10,32,1,0,2,12,0,12,5,14,13,28,5,3,5,0,2
Herman Melville,White Jacket,0,2,21,1,8,70,2,0,30,19,686,370,5.8895348837209305,31,8,90,2,0,76,64,5,1,0,8,86,48,35,0,2,2,33,23,20,1,1,3,15,0,20,25,17,18,6,14,6,1,2,4
Herman Melville,White Jacket,1,2,16,0,4,59,3,0,31,12,693,369,5.911242603550296,24,5,81,1,2,96,64,3,3,0,9,90,40,46,0,4,4,40,16,32,2,0,0,18,0,19,40,14,14,4,4,3,4,0,5
Herman Melville,White Jacket,9,15,16,0,7,58,3,0,43,26,700,374,5.913043478260869,33,2,61,1,0,86,48,0,0,0,3,91,42,37,1,1,4,49,20,47,0,0,5,19,1,21,34,15,15,18,6,1,6,0,6
Herman Melville,White Jacket,9,5,16,1,7,55,11,0,41,12,675,372,5.976261127596439,25,2,82,0,0,84,49,1,1,0,11,109,23,41,4,0,2,35,17,30,0,0,2,16,0,26,40,21,25,5,3,3,9,0,1
Herman Melville,White Jacket,2,1,16,1,7,78,9,0,27,22,684,379,5.831884057971014,33,4,70,2,0,73,45,1,1,0,8,96,23,76,0,0,0,26,29,38,0,2,1,14,0,16,26,19,21,9,13,5,6,0,2
Herman Melville,White Jacket,0,1,12,0,0,74,0,0,26,18,700,388,6.133333333333334,21,7,78,1,0,98,70,1,3,0,9,101,32,27,0,0,5,42,26,48,2,1,3,16,0,24,38,4,9,4,8,3,3,0,5
Herman Melville,White Jacket,0,0,15,1,0,55,7,0,34,20,699,381,5.857954545454546,31,3,89,0,0,80,58,2,1,0,11,124,28,29,0,0,7,43,21,39,2,1,2,17,0,23,20,7,5,13,22,1,3,1,4
Herman Melville,White Jacket,0,0,19,0,0,64,9,0,25,14,691,355,6.246200607902735,35,5,97,0,0,99,55,0,0,0,1,90,53,42,2,0,2,29,5,33,1,0,2,23,0,24,6,17,17,25,15,1,1,0,1
Herman Melville,White Jacket,1,0,11,0,4,60,8,2,36,29,688,381,6.074712643678161,24,0,96,1,0,90,48,3,2,0,7,94,66,19,0,1,11,38,18,29,0,0,4,11,0,16,3,21,16,27,21,1,4,0,4
Herman Melville,White Jacket,2,3,17,1,5,61,2,3,28,22,700,349,5.826086956521739,32,6,97,1,1,102,48,2,4,0,5,106,42,37,2,1,5,27,16,33,0,1,3,10,0,20,4,10,16,16,25,3,3,0,2
Herman Melville,White Jacket,1,4,20,1,4,59,0,1,27,14,703,357,6.109090909090909,27,15,94,2,0,100,53,2,0,0,9,113,44,23,1,2,1,22,8,28,1,0,0,23,0,22,16,14,29,13,14,4,2,0,5
Herman Melville,White Jacket,4,6,13,0,2,57,1,0,37,11,689,389,5.961218836565097,33,1,78,1,0,88,47,0,1,0,12,108,40,37,0,2,6,34,19,43,0,1,3,17,0,31,26,13,12,10,11,2,7,0,7
Herman Melville,White Jacket,1,11,19,0,17,46,0,0,38,10,680,370,5.297935103244837,38,9,81,0,0,94,40,2,4,0,14,114,31,40,0,0,7,31,18,43,2,0,4,6,0,24,17,7,14,10,22,2,3,0,4
Herman Melville,White Jacket,0,0,17,0,6,75,1,0,23,18,700,356,5.750759878419453,31,14,80,2,0,108,53,3,1,0,14,92,59,3,0,1,1,35,20,30,0,0,4,15,0,28,17,11,20,15,7,7,1,1,6
Herman Melville,White Jacket,0,1,13,1,0,65,0,2,28,10,696,366,5.816816816816817,34,8,76,1,0,91,50,0,2,0,8,106,42,6,0,4,3,43,26,36,0,1,4,15,2,21,35,22,15,15,9,4,5,0,6
Herman Melville,White Jacket,2,0,14,1,2,68,5,0,26,10,691,394,5.926027397260274,30,7,79,0,0,99,49,2,1,0,12,95,42,27,0,2,1,41,22,47,2,3,5,12,0,23,21,10,17,8,15,5,2,0,4
Herman Melville,White Jacket,1,1,6,0,5,73,1,0,33,19,687,358,5.804216867469879,32,3,82,0,0,102,58,0,1,0,8,107,38,16,1,0,9,40,23,35,1,0,7,16,0,16,37,22,13,1,8,3,1,0,3
Herman Melville,White Jacket,1,0,14,1,3,60,4,0,28,16,698,391,6.108333333333333,24,7,89,2,0,88,61,0,0,0,4,85,37,45,1,2,7,33,11,37,1,1,2,17,0,18,48,20,34,2,5,5,1,0,2
Herman Melville,White Jacket,0,0,14,0,3,76,0,0,25,26,704,402,6.034574468085107,32,4,75,0,0,85,70,1,1,0,10,99,55,7,0,2,4,32,23,36,1,1,3,25,0,26,20,21,18,13,12,2,3,1,2
Herman Melville,White Jacket,5,0,16,0,4,89,5,0,26,37,699,391,5.86449864498645,37,3,81,1,0,90,68,4,3,0,4,96,51,10,0,2,1,24,20,33,1,1,3,13,0,20,29,11,19,10,9,1,12,0,2
Herman Melville,White Jacket,4,0,9,0,4,67,1,2,25,16,707,399,6.02972972972973,26,6,78,2,0,91,58,0,1,0,14,97,40,27,1,1,1,39,14,50,1,0,3,21,0,24,34,20,10,4,10,7,6,1,4
Herman Melville,White Jacket,0,0,17,0,4,52,0,0,28,12,715,356,6.015105740181269,25,0,77,1,0,103,49,2,5,0,13,93,32,15,0,5,0,59,24,36,3,1,5,18,0,29,53,10,24,3,1,8,4,0,2
Herman Melville,White Jacket,5,8,5,1,2,56,18,0,43,16,686,375,5.93841642228739,24,2,92,0,0,80,54,2,0,0,8,90,37,25,1,0,1,41,19,31,2,2,10,16,3,24,38,13,21,7,13,4,4,0,6
Herman Melville,White Jacket,0,2,8,0,0,66,3,1,30,19,703,383,5.910919540229885,29,4,91,0,1,104,59,3,0,0,3,113,47,26,0,2,5,19,16,25,0,1,7,14,1,14,41,16,33,4,4,1,4,1,2
