Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Herman Melville,White Jacket,7,17,37,7,19,128,13,0,61,26,1251,613,5.755244755244755,72,3,150,1,0,146,104,4,3,0,10,187,83,40,0,3,4,68,38,70,2,0,11,21,2,44,76,28,26,13,7,2,3,0,10
Herman Melville,White Jacket,1,5,27,0,12,115,14,0,55,58,1319,596,5.943362831858407,66,8,168,5,1,164,105,0,5,0,8,174,110,56,1,1,9,51,20,68,1,1,6,33,0,26,24,31,29,51,19,6,11,2,11
Herman Melville,White Jacket,0,4,38,2,10,138,4,0,50,38,1272,608,6.15625,48,12,154,3,0,156,115,7,3,0,17,150,85,116,0,5,15,65,34,41,2,1,3,28,0,38,49,23,29,16,19,8,6,2,8
Herman Melville,White Jacket,16,17,27,1,10,108,12,0,77,38,1297,628,6.107508532423208,54,5,138,1,2,166,94,2,1,0,10,181,69,69,2,2,8,84,34,77,2,0,6,32,1,37,70,31,33,24,6,4,10,0,7
Herman Melville,White Jacket,5,4,28,1,13,135,12,0,55,35,1284,606,5.99113475177305,53,7,144,2,0,154,94,1,3,0,17,191,43,105,3,0,2,60,50,69,0,2,3,29,0,37,62,33,32,13,17,9,12,0,5
Herman Melville,White Jacket,0,1,26,1,0,118,8,0,57,38,1316,629,6.2100840336134455,54,9,168,1,0,163,123,3,3,0,16,212,58,55,1,0,10,72,35,80,4,2,4,29,0,40,45,12,21,16,37,2,6,1,7
Herman Melville,White Jacket,1,0,26,0,4,119,17,2,54,39,1285,605,6.304195804195804,60,4,173,1,0,183,90,3,2,0,8,169,119,62,1,1,15,61,24,54,1,0,6,32,0,39,5,36,29,53,30,2,4,0,5
Herman Melville,White Jacket,3,7,37,2,9,110,2,4,53,33,1316,567,6.140977443609023,51,21,178,3,1,182,95,4,4,0,14,211,77,51,3,3,4,47,22,59,1,1,3,33,0,42,20,24,42,26,38,7,5,0,7
Herman Melville,White Jacket,5,17,30,0,17,100,1,0,69,19,1280,623,5.792869269949066,68,9,147,1,0,169,83,2,5,0,24,205,69,69,0,2,12,59,37,82,2,1,7,20,0,51,43,19,25,19,30,4,9,0,10
Herman Melville,White Jacket,0,1,30,1,8,125,1,2,47,27,1308,579,5.983425414364641,60,20,143,2,0,187,96,3,2,0,23,184,93,17,0,3,5,78,44,57,0,1,8,29,2,49,50,31,32,25,11,10,6,1,12
Herman Melville,White Jacket,2,0,22,1,5,132,5,0,52,27,1301,621,6.058219178082192,59,13,159,1,0,183,96,2,3,0,17,195,79,37,1,4,7,68,36,82,2,3,10,27,0,34,48,24,31,14,29,9,3,0,7
Herman Melville,White Jacket,2,1,23,1,6,120,6,0,51,35,1311,636,6.222036727879799,51,7,151,2,0,178,130,1,0,0,10,161,75,52,1,3,13,72,36,72,3,2,5,36,0,36,77,43,46,6,12,6,3,0,4
Herman Melville,White Jacket,9,0,24,0,8,167,6,0,51,57,1299,655,6.0702875399361025,66,10,148,1,0,162,112,4,4,0,19,194,97,24,0,3,2,45,34,63,2,1,6,27,0,44,44,24,33,24,20,5,16,1,6
Herman Melville,White Jacket,0,0,24,1,6,99,3,2,48,26,1344,602,6.227513227513228,43,5,154,3,0,184,102,3,6,0,20,180,63,43,1,6,2,97,35,76,3,1,12,40,0,49,84,28,34,5,11,12,8,1,5
Herman Melville,White Jacket,5,10,13,0,2,119,18,1,69,30,1294,620,6.098275862068966,51,5,168,0,2,171,102,4,0,0,11,192,81,42,1,3,7,55,37,51,2,3,13,31,4,36,72,28,50,11,17,7,8,1,7
Herman Melville,White Jacket,0,11,17,3,9,132,19,2,56,29,1274,592,6.009057971014493,62,6,160,5,1,168,90,3,1,0,11,191,78,40,3,2,8,56,35,67,0,1,20,30,4,44,52,31,31,18,16,9,3,0,8
Herman Melville,White Jacket,0,6,33,1,6,112,5,0,56,29,1315,609,6.054101221640488,58,16,154,2,0,171,93,5,1,0,14,222,43,38,1,2,2,93,42,51,2,0,13,31,2,29,107,30,36,6,3,5,7,0,6
Herman Melville,White Jacket,2,0,17,2,7,121,8,0,49,36,1321,629,6.193220338983051,53,13,169,3,0,189,107,3,4,0,19,207,73,42,1,3,6,48,34,66,1,2,4,39,0,57,25,23,40,20,26,5,6,1,3
Herman Melville,White Jacket,2,7,33,1,10,103,5,1,46,43,1333,644,5.886547811993517,53,5,184,2,0,206,94,2,4,0,21,217,101,28,0,1,6,35,35,55,1,0,9,33,0,49,25,34,47,23,19,3,2,0,5
Herman Melville,White Jacket,7,22,21,1,9,111,53,1,79,39,1226,594,5.714795008912656,53,20,156,5,0,142,99,6,0,0,22,163,99,38,0,0,7,57,26,52,2,0,13,15,1,52,55,32,38,21,15,3,6,1,6
Herman Melville,White Jacket,5,12,21,0,8,134,10,0,61,41,1301,622,5.849056603773585,64,7,154,0,0,168,95,0,0,0,10,182,98,39,0,3,7,84,30,61,1,0,10,32,1,47,51,31,22,26,22,7,6,0,5
Herman Melville,White Jacket,2,8,37,1,10,96,18,1,52,20,1290,560,5.649523809523809,65,18,136,5,0,185,82,3,2,0,26,188,42,40,1,2,4,112,43,47,2,0,8,27,1,71,47,21,27,22,26,9,4,0,13
Herman Melville,White Jacket,4,2,18,1,10,93,4,3,56,31,1341,555,5.946666666666666,60,27,161,5,0,194,88,2,3,0,20,187,95,32,0,4,5,58,27,61,0,0,8,34,0,48,31,28,45,39,28,4,8,0,8
Herman Melville,White Jacket,4,1,20,3,9,111,4,0,50,42,1339,597,6.053285968028419,51,9,191,0,0,183,106,1,3,0,11,201,82,21,2,4,4,55,26,71,3,5,13,35,1,53,21,18,33,38,37,10,5,0,7
Herman Melville,White Jacket,3,7,6,3,15,94,18,1,115,49,1258,648,6.251644736842105,26,8,180,2,1,169,98,1,4,0,13,153,74,158,2,1,8,24,14,55,3,5,11,37,0,49,45,23,40,11,15,3,5,0,3
Herman Melville,White Jacket,2,16,9,1,17,106,14,0,68,38,1310,631,6.14,57,13,185,3,0,177,102,3,2,0,9,201,86,69,0,4,7,31,24,55,0,1,7,30,1,35,77,21,45,9,12,3,6,1,4
Herman Melville,White Jacket,2,8,26,2,11,113,8,0,60,25,1302,629,5.9109243697478995,59,5,189,2,2,172,97,4,8,0,5,171,87,96,0,0,5,43,30,66,0,1,2,26,0,26,20,27,35,41,39,9,8,0,3
Herman Melville,White Jacket,1,4,6,3,5,148,9,0,53,26,1290,662,6.039619651347068,61,6,168,2,1,173,91,3,5,0,11,199,100,35,1,2,7,44,27,68,0,2,13,31,1,36,74,29,41,7,16,10,8,0,2
Herman Melville,White Jacket,4,19,14,0,2,107,19,0,82,37,1300,588,5.8130671506352085,57,10,190,4,0,167,75,2,1,0,7,211,62,59,1,1,7,43,31,75,3,0,8,34,0,34,89,34,33,4,15,5,5,0,3
Herman Melville,White Jacket,2,9,22,1,4,103,7,1,61,24,1319,575,5.736549165120594,58,10,175,2,0,190,78,2,3,0,10,200,50,49,1,7,6,69,33,56,3,1,7,46,0,47,86,24,39,15,14,9,5,1,3
Herman Melville,White Jacket,4,1,9,0,7,137,1,2,48,10,1301,620,6.2521150592216586,58,15,161,4,0,193,113,2,6,0,16,196,65,56,0,2,4,42,31,73,4,1,4,35,0,36,37,26,42,20,31,10,6,0,6
Herman Melville,White Jacket,2,2,16,0,7,120,4,0,55,21,1310,645,6.35562805872757,38,9,182,4,1,213,105,3,2,0,8,204,87,46,0,6,5,40,21,59,0,0,2,33,0,32,62,47,45,15,14,4,4,2,5
Herman Melville,White Jacket,4,16,15,3,11,115,30,0,72,20,1256,617,6.0310880829015545,51,7,150,2,0,163,97,1,6,0,17,171,71,31,1,2,3,91,39,57,0,0,7,36,1,55,75,39,32,12,7,4,5,0,10
Herman Melville,White Jacket,0,0,16,1,12,135,4,1,38,48,1315,659,6.100478468899522,67,13,167,3,1,203,111,6,2,0,13,185,119,47,0,4,17,39,24,50,2,2,5,27,0,36,27,23,37,26,22,5,0,0,11
Herman Melville,White Jacket,0,0,6,0,6,120,0,0,40,21,1343,643,6.300163132137031,64,4,152,5,0,222,126,2,5,0,14,179,94,38,2,4,4,72,37,47,0,2,6,30,0,39,81,24,38,11,6,8,8,1,4
