Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Herman Melville,White Jacket,29,48,207,12,67,822,78,2,380,252,8593,2645,6.571649883810999,387,48,1035,13,3,1072,691,18,19,0,81,1207,522,484,8,12,51,441,224,444,12,6,36,198,3,251,328,185,190,173,124,33,48,5,52
Herman Melville,White Jacket,22,26,174,5,56,825,26,8,355,226,8698,2626,6.6775956284153,388,83,1036,13,1,1179,685,18,20,0,119,1265,557,288,6,19,56,419,229,464,10,9,44,196,2,281,308,190,223,128,157,45,50,3,48
Herman Melville,White Jacket,16,56,152,9,47,765,113,5,384,224,8655,2624,6.542432538130622,360,67,1095,18,3,1173,649,26,15,0,111,1313,516,252,6,16,37,411,235,384,11,7,82,201,11,300,397,190,271,104,101,40,36,3,39
Herman Melville,White Jacket,22,54,129,11,80,706,75,5,441,241,8714,2616,6.52156862745098,363,83,1130,16,1,1190,636,13,18,0,92,1236,541,398,5,18,36,395,185,401,9,12,58,211,4,324,277,158,236,177,174,41,39,1,43
Herman Melville,White Jacket,17,51,94,7,40,809,79,4,399,155,8641,2606,6.6020408163265305,356,63,1150,20,5,1226,615,17,27,0,78,1282,479,363,4,21,40,359,201,427,12,4,44,240,2,263,449,221,256,90,108,47,36,3,33
Herman Melville,White Jacket,19,24,92,5,50,825,80,4,317,155,8688,2541,6.765273311897106,355,67,1157,20,1,1296,690,18,21,0,91,1291,505,297,3,17,38,401,206,365,7,15,37,220,4,261,307,184,279,124,189,51,50,5,34
Herman Melville,White Jacket,19,20,115,3,62,824,69,3,293,179,8695,2677,6.835621662852784,364,58,1092,20,3,1261,668,13,26,0,112,1208,509,488,12,17,63,324,217,419,10,8,38,223,1,264,358,181,255,105,138,50,52,7,46
Herman Melville,White Jacket,6,14,109,5,62,891,77,5,276,209,8726,2514,6.750203748981255,353,75,1106,13,1,1194,615,13,22,0,98,1267,464,280,8,17,46,459,219,471,13,15,59,228,0,283,366,185,281,93,166,46,41,1,51
Herman Melville,White Jacket,60,60,108,6,80,824,156,0,396,178,8479,2522,6.6590538336052205,300,92,1057,11,6,1223,635,21,21,0,100,1217,458,512,11,28,63,397,207,467,9,8,36,190,8,252,308,164,194,128,119,34,47,4,52
Herman Melville,White Jacket,35,55,97,4,57,833,141,5,390,192,8558,2517,6.642243143675809,294,52,976,21,1,1138,650,14,20,0,112,1184,439,426,7,13,39,531,259,487,15,6,45,212,7,322,349,165,215,174,137,28,39,2,51
Herman Melville,White Jacket,22,29,103,2,96,911,180,2,346,150,8363,2361,6.803478260869565,285,44,1087,18,1,1110,607,14,13,0,104,1288,351,362,5,7,41,453,243,481,13,11,44,188,6,268,433,266,259,91,95,26,24,4,46
Herman Melville,White Jacket,39,41,90,2,49,796,101,5,382,219,8672,2487,6.57979381443299,337,55,1127,18,1,1189,614,15,21,0,86,1261,416,474,2,10,51,440,234,429,5,8,40,214,5,281,388,174,225,109,166,35,54,1,53
Herman Melville,White Jacket,46,35,78,7,50,809,86,2,345,192,8758,2463,6.706153202176643,349,69,1148,20,2,1306,659,15,24,0,111,1215,474,479,15,12,29,347,186,429,15,11,26,214,4,275,259,141,288,151,168,56,46,5,49
