Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Charles Dickens,Oliver Twist,3,3,18,4,0,94,14,1,42,9,1012,468,5.944572748267898,47,9,120,1,0,137,67,1,5,0,10,137,47,63,0,1,8,58,29,67,1,0,8,24,1,29,73,35,17,5,4,6,6,0,6
Charles Dickens,Oliver Twist,2,22,24,5,0,100,48,1,65,10,948,454,5.835748792270532,37,3,120,2,0,94,52,0,1,0,8,164,33,56,0,0,3,59,32,62,1,0,13,15,2,29,57,34,22,16,17,2,4,0,3
Charles Dickens,Oliver Twist,6,3,17,0,5,93,26,0,52,5,994,447,5.935096153846154,45,9,139,4,0,127,72,1,0,0,5,179,29,33,0,2,4,48,20,53,0,3,9,17,2,20,75,23,35,8,14,14,8,0,3
Charles Dickens,Oliver Twist,15,12,19,2,5,100,74,0,81,2,881,387,5.893258426966292,28,3,97,0,0,86,40,1,0,0,19,149,13,60,0,0,3,75,27,53,0,0,2,21,3,42,71,28,19,14,20,0,13,0,8
Charles Dickens,Oliver Twist,10,16,16,5,3,83,44,0,84,4,950,462,5.670616113744076,38,4,126,1,0,96,74,0,0,0,9,156,19,70,0,2,2,57,16,53,2,0,6,17,4,39,73,17,29,16,11,2,6,0,6
Charles Dickens,Oliver Twist,6,5,18,5,1,98,38,0,58,5,972,424,5.4113110539845755,43,0,98,2,0,99,82,1,0,0,16,132,25,25,0,0,4,94,25,94,2,0,6,14,7,33,78,21,24,20,10,9,6,0,2
Charles Dickens,Oliver Twist,5,6,30,2,1,100,52,0,57,5,941,419,5.699208443271768,29,4,89,3,0,93,77,4,4,0,9,142,26,45,0,2,4,77,31,75,3,0,7,25,1,38,62,14,16,33,15,6,1,0,8
Charles Dickens,Oliver Twist,10,10,12,5,2,93,31,2,47,4,985,507,6.30982905982906,44,4,116,3,0,127,91,1,3,0,12,148,38,50,0,0,7,48,25,67,0,1,5,28,3,43,44,25,24,14,10,6,5,0,3
Charles Dickens,Oliver Twist,19,8,16,5,4,91,36,0,64,10,963,491,5.913716814159292,41,6,115,1,0,121,69,2,0,0,14,157,27,71,0,0,7,57,32,43,1,0,8,9,0,30,71,25,21,10,7,7,13,0,9
Charles Dickens,Oliver Twist,7,6,15,1,4,90,45,1,52,9,980,454,5.863309352517986,35,5,107,3,0,115,69,3,2,0,24,124,26,52,0,0,7,80,19,68,0,1,7,24,0,42,61,19,26,28,11,10,6,0,6
Charles Dickens,Oliver Twist,5,11,12,8,2,114,44,0,56,10,948,448,6.276283618581907,39,4,108,5,0,118,88,0,1,0,5,150,27,52,0,1,3,43,27,49,4,3,3,25,8,18,71,32,31,7,12,3,9,0,4
Charles Dickens,Oliver Twist,4,10,12,6,1,96,30,0,57,8,988,474,5.669014084507042,38,2,100,4,0,98,56,1,0,0,14,128,29,70,1,1,7,91,23,69,0,0,8,38,2,44,77,13,28,13,14,8,9,0,5
Charles Dickens,Oliver Twist,3,9,19,4,1,103,38,0,51,4,978,402,5.603305785123967,29,0,87,7,0,103,77,5,5,0,19,111,30,38,0,1,2,96,19,72,6,0,5,38,1,63,60,15,26,36,4,7,6,0,5
Charles Dickens,Oliver Twist,9,11,16,5,3,92,43,0,62,15,957,423,5.768831168831169,31,6,109,3,0,101,60,1,0,0,10,152,19,57,0,0,7,69,31,56,4,2,8,19,3,37,76,26,20,17,20,9,7,0,6
Charles Dickens,Oliver Twist,6,8,33,3,2,85,52,0,63,10,947,392,5.867605633802817,26,5,89,4,0,110,47,3,1,0,20,128,22,84,0,2,6,86,20,47,0,2,4,29,2,50,71,19,17,22,13,3,9,0,5
Charles Dickens,Oliver Twist,5,6,18,4,0,100,21,0,48,15,1013,483,5.81981981981982,43,9,115,4,0,120,66,1,4,0,13,167,35,57,0,1,5,56,36,55,4,4,5,25,2,36,58,30,19,12,8,6,4,0,4
Charles Dickens,Oliver Twist,10,9,23,5,6,112,57,0,67,8,910,428,5.696891191709844,28,4,100,1,0,108,53,2,0,0,8,124,21,69,0,2,3,78,23,62,1,0,6,16,4,28,66,23,18,27,19,5,5,1,6
Charles Dickens,Oliver Twist,5,30,29,2,0,86,44,0,76,13,947,432,5.757033248081841,30,5,97,3,0,94,80,0,0,0,11,135,28,42,0,0,6,88,20,63,1,0,6,18,11,35,76,20,25,22,9,3,14,0,9
Charles Dickens,Oliver Twist,5,12,16,4,0,87,40,0,66,8,975,468,5.694117647058824,36,3,107,2,0,117,67,2,0,0,17,141,31,53,0,1,6,66,17,62,3,0,8,18,6,36,92,26,22,10,7,10,5,0,4
Charles Dickens,Oliver Twist,6,20,20,7,0,115,46,0,66,3,923,432,5.651282051282052,32,4,95,0,0,98,57,0,0,0,16,136,26,67,0,1,7,78,32,55,2,0,6,18,7,43,61,22,20,20,15,4,7,1,3
Charles Dickens,Oliver Twist,9,10,20,6,4,91,46,0,59,3,959,446,5.896805896805897,33,5,110,1,0,115,47,3,1,0,20,123,28,53,0,0,5,93,20,60,1,1,6,26,4,50,57,25,18,25,8,10,9,0,4
Charles Dickens,Oliver Twist,4,13,21,4,1,105,38,0,47,6,966,483,5.778026905829597,48,5,107,2,0,115,76,4,3,0,9,136,47,57,1,1,3,69,23,50,3,0,8,24,1,32,54,19,17,25,17,8,5,1,4
Charles Dickens,Oliver Twist,1,14,16,7,3,98,47,0,56,7,966,434,6.028061224489796,39,3,94,3,1,113,67,3,0,0,13,145,33,91,0,1,2,66,18,53,0,0,2,22,3,29,60,24,23,19,17,9,3,0,3
Charles Dickens,Oliver Twist,9,8,17,3,2,105,50,0,59,12,956,442,5.746268656716418,33,6,82,1,1,107,68,2,1,0,20,129,21,85,0,0,6,69,27,41,0,0,6,25,0,49,73,19,25,19,11,7,11,1,6
