Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Herman Melville,White Jacket,7,12,27,6,16,101,8,0,51,20,1005,521,5.735416666666667,55,3,112,1,0,120,91,2,3,0,9,151,49,36,0,1,3,60,33,60,2,0,6,16,2,38,62,26,21,11,5,2,3,0,6
Herman Melville,White Jacket,1,10,25,1,10,96,13,0,45,40,1037,473,5.785553047404063,50,6,142,4,1,120,72,2,1,0,7,138,92,49,1,3,8,33,15,49,1,1,9,27,0,22,33,19,23,34,17,4,7,2,13
Herman Melville,White Jacket,0,0,27,1,5,121,8,0,35,47,1023,525,6.209580838323354,49,5,127,1,0,133,87,3,4,0,9,121,93,73,0,2,15,50,18,43,1,0,5,20,0,22,9,23,24,33,16,7,5,1,3
Herman Melville,White Jacket,1,4,25,1,12,89,4,0,48,21,1037,504,5.9361702127659575,43,11,128,3,2,129,95,5,4,0,11,139,58,65,0,4,4,54,31,41,3,1,0,25,0,29,61,22,21,5,7,5,5,1,8
Herman Melville,White Jacket,15,17,25,1,8,82,11,0,65,32,1037,519,6.031185031185031,43,3,101,1,0,130,73,1,0,0,9,142,55,58,2,1,6,71,29,63,0,0,6,26,1,34,54,23,28,22,6,2,10,0,6
Herman Melville,White Jacket,5,4,23,1,13,109,12,0,45,28,1022,508,5.9658848614072495,48,5,112,2,0,113,70,1,2,0,13,154,33,96,3,0,0,39,37,52,0,2,2,23,0,29,46,32,32,10,16,7,11,0,3
Herman Melville,White Jacket,0,1,21,1,0,106,4,0,42,31,1039,539,6.16370808678501,36,9,124,1,0,137,100,2,3,0,12,156,50,50,0,0,11,61,36,66,3,2,5,22,0,30,50,6,12,12,16,3,4,0,7
Herman Melville,White Jacket,0,0,25,0,0,87,12,0,42,21,1051,500,6.199575371549894,51,6,140,0,0,140,84,1,1,0,9,159,62,48,2,0,3,53,16,54,2,0,2,34,0,41,13,22,19,30,30,2,3,1,3
Herman Melville,White Jacket,1,1,18,0,7,97,9,3,49,46,1041,507,6.0974576271186445,43,5,146,1,1,145,68,3,6,0,9,144,90,40,2,1,13,49,26,47,0,0,6,13,0,23,3,23,24,33,35,3,6,0,4
Herman Melville,White Jacket,3,6,30,2,6,83,2,3,42,19,1048,490,6.102620087336245,40,16,141,3,0,147,81,4,0,0,12,169,62,39,1,3,4,38,16,43,1,1,1,31,0,35,20,22,37,23,25,5,3,0,7
Herman Melville,White Jacket,4,16,23,0,12,81,1,0,55,15,1022,531,5.848,55,5,118,1,0,134,70,2,4,0,17,167,60,53,0,2,11,42,33,59,1,1,5,18,0,41,33,17,18,15,24,4,9,0,9
Herman Melville,White Jacket,1,1,26,0,13,97,1,0,42,24,1047,494,5.727668845315904,47,19,121,2,0,156,71,3,2,0,23,146,70,27,0,1,3,58,24,57,1,0,6,20,0,42,27,14,28,20,16,7,2,1,8
Herman Melville,White Jacket,0,1,18,1,0,97,0,2,41,18,1054,510,6.023206751054852,46,13,122,1,0,147,73,1,3,0,12,159,57,21,0,6,4,61,35,60,1,2,5,21,2,33,43,27,25,20,21,5,6,0,8
