Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Herman Melville,White Jacket,4,2,15,2,8,50,0,0,22,10,509,288,5.602316602316602,26,1,63,0,0,67,45,2,0,0,6,84,17,16,0,0,3,33,13,35,1,0,2,8,1,19,31,11,6,5,3,2,2,0,2
Herman Melville,White Jacket,3,10,12,4,8,51,7,0,30,10,496,304,5.582089552238806,29,2,49,1,0,53,46,0,3,0,3,67,32,20,0,1,0,27,20,25,1,0,4,8,1,19,31,15,15,6,2,0,1,0,4
Herman Melville,White Jacket,1,7,12,1,5,47,7,0,25,20,519,283,5.430232558139535,30,4,67,1,0,57,34,2,0,0,2,69,54,20,0,2,3,18,8,26,0,0,7,12,0,10,27,9,15,9,6,0,0,0,9
Herman Melville,White Jacket,0,3,13,0,5,49,6,0,21,20,518,279,5.763565891472868,20,2,75,3,1,63,38,0,1,0,5,69,38,29,1,1,5,15,7,23,1,1,2,15,0,12,6,10,8,25,11,4,7,2,4
Herman Melville,White Jacket,0,0,12,0,5,46,6,0,21,24,528,299,5.855633802816901,33,2,64,1,0,70,46,0,4,0,2,71,52,11,0,0,2,26,10,29,0,0,2,11,0,10,5,14,11,20,4,2,4,0,2
Herman Melville,White Jacket,0,0,15,1,0,75,2,0,15,23,495,284,6.276515151515151,16,3,63,0,0,63,41,3,0,0,7,50,41,62,0,2,13,24,8,14,1,0,3,9,0,12,4,9,13,13,12,5,1,1,1
Herman Melville,White Jacket,0,4,14,1,8,44,1,0,27,9,516,285,5.538759689922481,27,6,59,3,0,55,46,2,2,0,5,70,29,28,0,2,0,30,22,19,1,1,0,11,0,17,34,11,10,2,3,3,3,1,3
Herman Melville,White Jacket,1,0,11,0,4,45,3,0,22,12,521,295,5.9664179104477615,16,5,69,0,2,74,49,3,2,0,6,69,29,37,0,2,4,24,9,22,2,0,0,14,0,12,27,11,11,3,4,2,2,0,5
Herman Melville,White Jacket,5,5,13,0,6,45,2,0,28,15,524,297,6.0,22,1,43,0,0,66,32,0,0,0,3,68,27,30,0,1,3,39,15,39,0,0,4,15,0,22,32,13,11,10,3,0,4,0,4
Herman Melville,White Jacket,10,12,12,1,2,37,9,0,38,17,513,305,5.659420289855072,21,2,58,1,0,64,40,1,0,0,6,74,28,28,2,0,3,32,14,24,0,0,2,11,1,13,22,10,17,12,3,2,6,0,2
